node,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15
n1,0,2820,6740,7190,7425,7830,8865,11536,12135,13050,13358,16590,16790,17085
n2,0,2428,6723,7190,7425,7580,7697,9015,11670,12112,13116,13443,16580,16925,17052
n3,390,2522,3340,4155,4414,6680,6764,7194,9070,11950,12487,12925,16550,16850,17040
n4,330,2831,3275,4229,4444,6600,6707,7595,10858,11882,12391,12583,16590,16753,16993
n5,735,5199,5918,7060,7270,7490,7688,8701,11245,11425,12524,12935,16630,16807,17005
