,base_time,id_device,imu_mean,weight_slope,weight_mean,temperature_mean,stage
0,149,1,2.3242921481188525,0.9911815396145864,143.50818840699438,18.176911544227885,1.0
1,198,1,2.431447380245897,1.3712273042625653,203.20733739503032,17.94352823588206,1.0
2,248,1,2.3593435515093835,1.3325670686660966,268.2024967391723,17.804347826086957,1.0
3,298,1,2.4077296780430744,1.3084329406113386,349.7422251978946,17.660669665167415,1.0
4,347,1,2.6252313066215947,1.3651504303608335,416.92568425897264,17.41079460269865,1.0
5,397,1,2.6072018443059592,1.1610019537818876,487.54103781841707,17.226886556721638,1.0
6,447,1,2.881203739368836,1.2811593517904711,550.2543577277006,16.977011494252874,1.0
7,496,1,2.918551017681546,1.3660667843618883,600.0001843831318,16.7736131934033,1.0
8,546,1,2.683150053191137,1.4573745977472399,667.2970007569287,16.735882058970514,1.0
9,596,1,2.7459514131191134,1.4578468719412165,734.9862921917097,16.740129935032485,1.0
10,645,1,2.4497938594870092,1.64384261957636,811.7459621890061,16.865067466266865,1.0
11,695,1,2.343781865279645,1.5245236828074389,885.0486496090718,16.962268865567218,1.0
12,745,1,2.2718440061287684,1.742157758057948,963.1032950223499,16.91329335332334,1.0
13,794,1,2.0426127889910726,1.4623321836305891,1031.9914791047217,16.863818090954524,1.0
14,844,1,1.9996646436630703,1.11286370512307,1088.6842204197378,16.849075462268864,1.0
15,894,1,1.889359903056845,1.306486082983375,1150.7939202416042,16.849075462268864,1.0
16,943,1,1.9652438260497365,0.8327728703269861,1205.6363720391842,16.93553223388306,1.0
17,993,1,2.043292800385997,0.8211496432609772,1250.278329929429,16.985007496251875,1.0
18,1043,1,2.088219246674591,1.144426896275847,1310.1514934913953,17.00624687656172,1.0
19,1092,1,2.1893987529201584,1.1323965140929224,1367.4913621291896,17.131184407796102,1.0
20,1142,1,2.1962049088043005,1.3936056335514815,1429.9524004169455,17.150924537731136,1.0
21,1192,1,2.1458921638100072,1.4662532311711438,1505.0326034874277,17.2263868065967,1.0
22,1241,1,2.1845714970866545,0.895181400714612,1561.6794453755394,17.326836581709145,1.0
23,1291,1,2.141339108302289,1.160152394493291,1613.7702183886497,17.424537731134432,1.0
24,1341,1,1.9412201558092854,0.9940450426584554,1686.6954328298236,17.60494752623688,1.0
25,1390,1,1.9439833683277623,0.8803750492238844,1734.461803597483,17.654422788605697,1.0
26,1440,1,1.7655261061310232,1.0564355903212765,1781.1528926480703,17.7736131934033,1.0
27,1490,1,1.544652211880715,0.923636603905259,1830.7585785449396,17.800599700149924,1.0
28,1539,1,1.6586720678059572,0.6882541985290596,1853.4427300005966,17.86056971514243,1.0
29,1589,1,1.7885558340511893,1.025954762496718,1902.9214094438166,18.110444777611196,1.0
30,1639,1,1.8580979520229286,0.8041729796624862,1949.1125256729567,18.2263868065967,1.0
31,1688,1,1.887102491447953,1.4601491706922098,2006.8364667690114,18.264117941029486,1.0
32,1738,1,1.9493962334703148,0.9222379583247013,2063.7493830947487,18.253873063468266,1.0
33,1788,1,1.8888087155731166,0.41030956126176055,2092.9226905473956,18.059720139930036,1.0
34,1837,1,1.8076582751009196,0.7393633730314422,2145.8509269562633,17.843578210894552,1.0
35,1887,1,1.872963724865279,0.16463023066318277,2188.0595902336327,17.680909545227387,1.0
36,1937,1,1.811543674951492,0.7925979817544293,2226.255573698537,17.555972013993003,1.0
37,1986,1,1.7447697890726332,1.4664703716624914,2298.8650188561687,17.5,1.0
38,2036,1,1.8019485091122451,1.7562889013373668,2364.6753432100436,17.5,1.0
39,2086,1,1.7796453987168137,1.5133586327419557,2397.3243852438895,17.5,1.0
40,2135,1,1.7024404967890794,1.5516135709911871,2450.864345019632,17.500499750124938,1.0
41,2185,1,1.830294359551379,1.4647195269491249,2486.727417316737,17.61319340329835,1.0
42,2235,1,1.9709246362396395,0.47792684070801544,2525.3139194657583,17.71264367816092,1.0
43,2284,1,2.1732736568006055,0.4154941957414146,2585.383345701371,17.837581209395303,1.0
44,2334,1,2.420776261476783,0.5711296884468737,2625.9254129523647,17.839330334832585,1.0
45,2384,1,2.465584932220917,0.2950177591816871,2665.392543306689,17.7263868065967,1.0
46,2433,1,2.4718838640833645,1.0484536646805098,2693.2225645682192,17.6271864067966,1.0
47,2483,1,2.2334421654057572,2.580352838822398,2749.7880192630087,17.50224887556222,1.0
48,2533,1,2.1071426137337426,1.5411627423002774,2830.3239444005835,17.5,1.0
49,2582,1,2.0233929136878337,1.7586039009189849,2918.789620522752,17.5,1.0
50,2632,1,2.1543057912365313,1.010788987213319,3007.200870096816,17.5,1.0
51,2682,1,2.2458177081197883,-0.1979083496488546,3045.797297805338,17.646176911544227,1.0
52,2731,1,1.8286764693336712,-0.040681294731037695,3061.967882853016,17.792353823088455,1.0
53,2781,1,1.42901820427568,-0.38342185427363834,3047.94840002136,17.80184907546227,1.0
54,2831,1,0.8128583007184288,0.06556754023336518,3023.8567802825955,17.80184907546227,2.0
55,2880,1,0.43844958689291375,-0.5120489699578172,3015.8816638638036,17.630434782608695,2.0
56,2930,1,0.4336449926076792,-0.04323744010239898,2996.7408533395014,17.3968015992004,2.0
57,2980,1,0.4326352344982994,-0.09633774300562625,2992.136286911647,17.262118940529735,2.0
58,3029,1,0.4325392147106489,-0.09527670153071967,2987.293008981853,17.13718140929535,2.0
59,3079,1,0.4310943695859391,-0.16123007502768877,2979.676596775881,17.037731134432782,2.0
60,3129,1,0.4307100362017872,-0.15911572671373417,2971.9028794179812,17.0,2.0
61,3178,1,0.4301185153078357,-0.14336117200712345,2964.5970330598957,17.0,2.0
62,3228,1,0.42957473195288154,-0.13448700694427537,2957.5574455225674,17.0,2.0
63,3278,1,0.43005236572000355,-0.06649324379424548,2953.7948203665296,17.0,2.0
64,3327,1,0.4346163260198796,-0.02235421470994152,2951.6739641678923,17.0,2.0
